iter	Passed	Remaining
0	0	12
1	0	12
2	1	12
3	1	11
4	2	10
5	2	10
6	2	9
7	3	8
8	3	8
9	4	8
10	4	7
11	4	7
12	5	6
13	5	6
14	5	5
15	6	5
16	6	4
17	6	4
18	7	4
19	7	3
20	7	3
21	8	3
22	8	2
23	8	2
24	9	1
25	9	1
26	9	1
27	10	0
28	10	0
29	11	0
