iter	RMSE
0	73.84470445
1	73.6600927
2	73.47594247
3	73.29225262
4	73.06669849
5	72.86672146
6	72.68455466
7	72.39770507
8	72.21671081
9	72.02048758
10	71.84043637
11	71.61947224
12	71.40037229
13	71.21125712
14	71.03322898
15	70.7529277
16	70.52050178
17	70.32749724
18	70.1516785
19	69.96494226
20	69.81912599
21	69.5279274
22	69.33672519
23	69.16338338
24	68.98431472
25	68.81185393
26	68.50555359
27	68.25116243
28	68.08053452
29	67.91033319
